time, temp
18:52b, (22.812,73.0616)
18:52a, (22.0,71.6)
18:53b, (22.812,73.0616)
18:53a, (21.937,71.6)
18:54b, (22.812,73.0616)
18:54a, (21.875,71.48660000000001)
18:55b, (22.75,72.95)
18:55a, (21.812,71.375)
18:56b, (22.812,73.0616)
18:56a, (21.875,71.48660000000001)
18:57b, (22.75,73.0616)
18:57a, (21.937,71.6)
18:58b, (22.75,73.0616)
18:58a, (22.062,71.7116)
18:59b, (22.75,73.0616)
18:59a, (22.062,71.7116)
19:0b, (22.812,73.0616)
19:0a, (22.0,71.7116)
19:1b, (22.812,73.0616)
19:1a, (21.937,71.6)
19:2b, (22.812,73.175)
19:2a, (21.875,71.375)
19:3b, (22.812,73.0616)
19:3a, (21.75,71.15)
19:5b, (22.812,73.0616)
19:5a, (21.687,71.15)
19:6b, (22.75,72.95)
19:6a, (21.625,71.0366)
19:7b, (22.687,72.95)
19:7a, (21.562,70.8116)
19:8b, (22.687,72.8366)
19:8a, (21.5,70.8116)
19:9b, (22.625,72.8366)
19:9a, (21.5,70.7)
19:10b, (22.562,72.725)
19:10a, (21.375,70.5866)
19:11b, (22.562,72.725)
19:11a, (21.312,70.36160000000001)
19:12b, (22.5,72.5)
19:12a, (21.25,70.36160000000001)
19:13b, (22.5,72.5)
19:13a, (21.187,70.25)
19:14b, (22.437,72.5)
19:14a, (21.125,70.025)
19:15b, (22.437,72.3866)
19:15a, (21.062,70.025)
19:16b, (22.375,72.3866)
19:16a, (21.0,69.9116)
19:17b, (22.375,72.3866)
19:17a, (21.062,69.9116)
19:18b, (22.375,72.3866)
19:18a, (21.125,70.025)
19:19b, (22.437,72.3866)
19:19a, (21.062,70.025)
19:20b, (22.437,72.3866)
19:20a, (21.187,70.1366)
19:21b, (22.437,72.5)
19:21a, (21.375,70.475)
19:23b, (22.437,72.5)
19:23a, (21.375,70.475)
19:24b, (22.5,72.5)
19:24a, (21.312,70.475)
19:25b, (22.5,72.61160000000001)
19:25a, (21.25,70.36160000000001)
19:26b, (22.5,72.61160000000001)
19:26a, (21.187,70.25)
19:27b, (22.5,72.61160000000001)
19:27a, (21.125,70.025)
19:28b, (22.5,72.61160000000001)
19:28a, (21.0,69.9116)
19:29b, (22.437,72.3866)
19:29a, (20.937,69.6866)
19:30b, (22.375,72.3866)
19:30a, (20.875,69.575)
19:31b, (22.312,72.275)
19:31a, (20.812,69.4616)
19:32b, (22.312,72.1616)
19:32a, (20.75,69.35)
19:33b, (22.25,72.1616)
19:33a, (20.75,69.4616)
19:34b, (22.25,72.05)
19:34a, (20.75,69.35)
19:35b, (22.25,72.05)
19:35a, (20.75,69.35)
19:36b, (22.187,72.05)
19:36a, (20.625,69.23660000000001)
19:37b, (22.187,72.05)
19:37a, (20.687,69.35)
19:38b, (22.187,72.05)
19:38a, (20.75,69.35)
19:40b, (22.25,72.05)
19:40a, (20.812,69.4616)
19:41b, (22.25,72.05)
19:41a, (20.875,69.6866)
19:42b, (22.25,72.05)
19:42a, (20.875,69.6866)
19:43b, (22.25,72.1616)
19:43a, (20.875,69.6866)
19:44b, (22.312,72.1616)
19:44a, (20.875,69.575)
19:45b, (22.375,72.275)
19:45a, (20.75,69.4616)
19:46b, (22.312,72.275)
19:46a, (20.625,69.23660000000001)
19:47b, (22.312,72.1616)
19:47a, (20.625,69.125)
19:48b, (22.187,72.05)
19:48a, (20.5,69.0116)
19:49b, (22.25,72.05)
19:49a, (20.437,68.9)
19:50b, (22.187,71.9366)
19:50a, (20.437,68.9)
19:51b, (22.125,71.9366)
19:51a, (20.437,68.9)
19:52b, (22.125,71.825)
19:52a, (20.437,68.9)
19:53b, (22.062,71.7116)
19:53a, (20.375,68.7866)
19:54b, (22.062,71.7116)
19:54a, (20.312,68.675)
19:55b, (22.062,71.7116)
19:55a, (20.437,68.7866)
19:56b, (22.062,71.7116)
19:56a, (20.5,69.0116)
19:58b, (22.062,71.825)
19:58a, (20.625,69.125)
19:59b, (22.125,71.825)
19:59a, (20.75,69.35)
20:0b, (22.125,71.825)
20:0a, (20.75,69.35)
20:1b, (22.125,71.9366)
20:1a, (20.75,69.35)
20:2b, (22.25,72.05)
20:2a, (20.687,69.35)
20:3b, (22.187,72.05)
20:3a, (20.687,69.23660000000001)
20:4b, (22.187,71.9366)
20:4a, (20.625,69.125)
20:5b, (22.125,71.9366)
20:5a, (20.562,69.0116)
20:6b, (22.125,71.825)
20:6a, (20.5,68.9)
20:7b, (22.062,71.825)
20:7a, (20.437,68.9)
20:8b, (22.0,71.7116)
20:8a, (20.375,68.7866)
20:9b, (22.0,71.7116)
20:9a, (20.437,68.7866)
20:10b, (22.0,71.6)
20:10a, (20.375,68.675)
20:11b, (21.937,71.6)
20:11a, (20.312,68.5616)
20:12b, (21.937,71.6)
20:12a, (20.312,68.675)
20:13b, (21.937,71.6)
20:13a, (20.375,68.675)
20:14b, (21.937,71.48660000000001)
20:14a, (20.437,68.7866)
20:16b, (21.937,71.6)
20:16a, (20.562,69.125)
20:17b, (22.0,71.6)
20:17a, (20.687,69.23660000000001)
20:18b, (22.0,71.6)
20:18a, (20.625,69.125)
20:19b, (22.062,71.7116)
20:19a, (20.625,69.23660000000001)
20:20b, (22.125,71.9366)
20:20a, (20.562,69.0116)
20:21b, (22.125,71.9366)
20:21a, (20.437,68.7866)
20:22b, (22.125,71.825)
20:22a, (20.375,68.675)
20:23b, (22.125,71.7116)
20:23a, (20.375,68.675)
20:24b, (22.0,71.7116)
20:24a, (20.312,68.675)
20:25b, (22.0,71.7116)
20:25a, (20.25,68.5616)
20:26b, (21.937,71.6)
20:26a, (20.25,68.5616)
20:27b, (21.937,71.6)
20:27a, (20.25,68.45)
20:28b, (21.937,71.48660000000001)
20:28a, (20.25,68.45)
20:29b, (21.875,71.375)
20:29a, (20.187,68.45)
20:30b, (21.875,71.48660000000001)
20:30a, (20.25,68.45)
20:31b, (21.875,71.48660000000001)
20:31a, (20.25,68.45)
20:33b, (21.875,71.48660000000001)
20:33a, (20.437,68.7866)
20:34b, (21.937,71.48660000000001)
20:34a, (20.687,69.23660000000001)
20:35b, (21.937,71.48660000000001)
20:35a, (20.562,69.125)
20:36b, (21.937,71.48660000000001)
20:36a, (20.625,69.125)
20:37b, (21.937,71.48660000000001)
20:37a, (20.625,69.125)
20:38b, (21.937,71.48660000000001)
20:38a, (20.625,69.23660000000001)
20:39b, (22.0,71.6)
20:39a, (20.625,69.23660000000001)
20:40b, (22.062,71.7116)
20:40a, (20.562,69.125)
20:41b, (22.062,71.7116)
20:41a, (20.5,69.0116)
20:42b, (22.062,71.7116)
20:42a, (20.437,68.7866)
20:43b, (22.062,71.7116)
20:43a, (20.375,68.675)
20:44b, (22.0,71.6)
20:44a, (20.312,68.675)
20:45b, (21.937,71.6)
20:45a, (20.25,68.5616)
20:46b, (21.937,71.48660000000001)
20:46a, (20.25,68.5616)
20:47b, (21.875,71.48660000000001)
20:47a, (20.187,68.3366)
20:48b, (21.875,71.375)
20:48a, (20.187,68.45)
20:49b, (21.875,71.375)
20:49a, (20.187,68.45)
20:51b, (21.875,71.375)
20:51a, (20.25,68.45)
20:52b, (21.812,71.375)
20:52a, (20.25,68.45)
20:53b, (21.875,71.48660000000001)
20:53a, (20.375,68.675)
20:54b, (21.937,71.48660000000001)
20:54a, (20.437,68.7866)
20:55b, (21.875,71.48660000000001)
20:55a, (20.625,69.125)
20:56b, (21.875,71.375)
20:56a, (20.562,69.0116)
20:57b, (21.937,71.48660000000001)
20:57a, (20.562,69.0116)
20:58b, (22.0,71.7116)
20:58a, (20.437,68.9)
20:59b, (22.062,71.7116)
20:59a, (20.375,68.7866)
21:0b, (22.0,71.6)
21:0a, (20.375,68.675)
21:1b, (21.937,71.6)
21:1a, (20.375,68.675)
21:2b, (21.937,71.48660000000001)
21:2a, (20.25,68.45)
21:3b, (21.937,71.48660000000001)
21:3a, (20.25,68.45)
21:4b, (21.875,71.375)
21:4a, (20.187,68.3366)
21:5b, (21.812,71.2616)
21:5a, (20.125,68.225)
21:6b, (21.812,71.2616)
21:6a, (20.062,68.225)
21:7b, (21.75,71.2616)
21:7a, (20.062,68.225)
21:9b, (21.75,71.2616)
21:9a, (20.187,68.3366)
21:10b, (21.75,71.2616)
21:10a, (20.25,68.45)
21:11b, (21.75,71.2616)
21:11a, (20.375,68.7866)
21:12b, (21.812,71.2616)
21:12a, (20.562,69.125)
21:13b, (21.812,71.2616)
21:13a, (20.5,69.0116)
21:14b, (21.812,71.2616)
21:14a, (20.5,68.9)
21:15b, (21.812,71.2616)
21:15a, (20.562,69.0116)
21:16b, (21.812,71.375)
21:16a, (20.562,69.0116)
21:17b, (21.937,71.6)
21:17a, (20.5,68.9)
21:18b, (22.0,71.6)
21:18a, (20.375,68.675)
21:19b, (22.0,71.6)
21:19a, (20.312,68.675)
21:20b, (21.937,71.48660000000001)
